fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation_ordinance
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,5366703
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1200
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,18000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,49500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE PURCHASE AGREEMNT,63500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,18500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMM SERVICES,47400
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE-CENTREX,46000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,196,DATA CIRCUITS,3600
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE-MAINTENANCE,22000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,229,TRAN/EXP ALLOWANCE,680
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TRAVELERS,23280
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,872
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPL,48500
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,2288127
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,9736
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,1250
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,820
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,5000
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,18157
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,1649
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,22771
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,26603
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,9231
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1487
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,721
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,36525
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,32114
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,51945
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,558
