fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,5,Salaries and Wages - on Payroll,6279625.00,6279625.00,6528090.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,126,Office Conveniences,1200.00,1200.00,1200.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,130,Postage,5000.00,5000.00,5000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,150,Publications and Reproduction - Outside Services to Be Expended with the Prior Approval of Graphics Services,1000.00,1000.00,1000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,157,Rental of Equipment and Services,42500.00,42500.00,42500.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,159,Lease Purchase Agreements for Equipment and Machinery,53744.00,53744.00,53744.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,162,Repair/Maintenance of Equipment,6984.00,6984.00,6984.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,166,Dues  Subscriptions and Memberships,22000.00,22000.00,22000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,169,Technical Meeting Costs,5286.00,5286.00,5286.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,181,Mobile Communication Services,40000.00,40000.00,40000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,190,Telephone - Non-Centrex Billings,48000.00,48000.00,48000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,196,Data Circuits,444.00,444.00,444.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,197,Telephone - Maintenance and Repair of Equipment and Voicemail,3300.00,3300.00,3300.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,229,Transportation and Expense Allowance,1000.00,1000.00,1000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,245,Reimbursement to Travelers,25780.00,25780.00,25780.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,270,Local Transportation,1050.00,1050.00,1050.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,350,Stationery and Office Supplies,30000.00,30000.00,30000.00
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,5,Salaries and Wages - on Payroll,382056.00,382056.00,410803.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,4857326.00,4857326.00,4963532.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,45856.00,45856.00,43787.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,820.00,820.00,820.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,100549.00,100549.00,100549.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,131316.00,131316.00,222315.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,217015.00,217015.00,262137.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,36235.00,36235.00,46235.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,21940.00,21940.00,36940.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,115.00,115.00,115.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,3760.00,3760.00,3760.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,72773.00,72773.00,101273.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,42233.00,42233.00,42233.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,22708.00,22708.00,22708.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558.00,558.00,558.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,4467.00,4467.00,29467.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,709.00,709.00,709.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,2552.00,2552.00,2552.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,348,Books and Related Material,2032.00,2032.00,2032.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,9342.00,9342.00,12842.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,424,Furniture and Furnishings,25000.00,25000.00,0.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,700,Contingencies,980.00,980.00,980.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,For Services Provided by the Department of Fleet and Facilities Management,0.00,0.00,1000.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,1001932.00,1001932.00,969742.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,7461.00,7461.00,8374.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,683.00,683.00,683.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,7597.00,7597.00,7597.00
