fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,11370347.00,11370347.00,11692699.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,STUDENT AS TRAINEES,249060.00,249060.00,260000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,OFFICE CONVENIENCES,1600.00,1600.00,3200.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,POSTAGE,5500.00,5500.00,1600.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,PROFESSIONAL AND TECHNICAL SERVICES,20000.00,20000.00,16000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,SOFTWARE MAINTENANCE AND LICENSING,2500.00,3261.00,3400.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0150,OUTSIDE GRAPHIC SERVICES,1600.00,1600.00,0.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,RENTAL EQUIPMENT AND SERVICES,46000.00,46000.00,1000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,LEASE/PURCHASE EQUIPMENT,52000.00,51239.00,31000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,REPAIR/MAINT EQUIPMENT,6984.00,6984.00,1500.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,DUES  SUBSC & MEM,248023.00,248023.00,248023.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,TECHNICAL MEETING COSTS,6000.00,6000.00,6000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000.00,1000.00,0.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,REIMBURSEMENT TO TRAVELERS,100000.00,100000.00,48000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0270,LOCAL TRANSPORTATION,3000.00,3000.00,0.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,STATIONERY AND OFFICE SUPPLIES,30000.00,30000.00,10000.00
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,LOBBYIST COSTS,200000.00,200000.00,200000.00
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,417673.00,417673.00,457161.00
LOCAL,0B21,Tax Increment Financing Administration Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,0.00,0.00,121266.00
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,428424.00,428424.00,387849.00
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0135,DELEGATE AGENCIES,4674488.00,4674488.00,0.00
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,9102,SPECIAL PROGRAM COSTS,0.00,0.00,3800000.00
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,929B,Restoration Committee,0.00,0.00,500000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,8138933.00,8138933.00,8307226.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,157957.00,157957.00,187555.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,OVERTIME,3000.00,3000.00,1500.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,2083.00,2083.00,1635.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,IT MAINTENANCE,121349.00,121349.00,15296.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,348253.00,348253.00,339348.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,52500.00,52500.00,52500.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,928276.00,928276.00,600406.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,OUTSIDE GRAPHIC SERVICES,6000.00,6000.00,4750.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0152,ADVERTISING,5000.00,5000.00,5000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,48779.00,48779.00,63125.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,129501.00,129501.00,129501.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,1000.00,1000.00,1000.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,16197.00,16197.00,20618.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,145600.00,145600.00,192864.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,29929.00,29929.00,22777.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,64969.00,64969.00,82440.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,12310.00,12310.00,26496.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,31277.00,31277.00,23510.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,2506.00,2506.00,2533.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,5423.00,5423.00,3001.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,1273.00,1273.00,1500.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,27844.00,27844.00,19629.00
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,PURCHASE - IT HARDWARE,88477.00,88477.00,88477.00
