year,functional_category,department_number,appropriation_account,fund_type,fund_code,amount
2011,Finance & Administration,01,0005,LOCAL,0100,5892558.0
2011,Finance & Administration,01,0005,LOCAL,0355,384120.0
2011,Finance & Administration,01,0030,LOCAL,0100,-519910.0
2011,Finance & Administration,01,0030,LOCAL,0355,-36432.0
2011,Finance & Administration,01,0126,LOCAL,0100,1310.0
2011,Finance & Administration,01,0130,LOCAL,0100,30918.0
2011,Finance & Administration,01,0150,LOCAL,0100,1242.0
2011,Finance & Administration,01,0157,LOCAL,0100,67900.0
2011,Finance & Administration,01,0159,LOCAL,0100,87300.0
2011,Finance & Administration,01,0162,LOCAL,0100,6984.0
2011,Finance & Administration,01,0169,LOCAL,0100,5286.0
2011,Finance & Administration,01,0181,LOCAL,0100,39730.0
2011,Finance & Administration,01,0190,LOCAL,0100,70000.0
2011,Finance & Administration,01,0197,LOCAL,0100,30200.0
2011,Finance & Administration,01,0229,LOCAL,0100,680.0
2011,Finance & Administration,01,0245,LOCAL,0100,23280.0
2011,Finance & Administration,01,0270,LOCAL,0100,872.0
2011,Finance & Administration,01,0350,LOCAL,0100,48500.0
2011,Regulatory,03,0005,LOCAL,0100,2467620.0
2011,Regulatory,03,0005,LOCAL,0200,878629.0
2011,Regulatory,03,0005,LOCAL,0314,730550.0
2011,Regulatory,03,0005,LOCAL,0740,1176952.0
2011,Regulatory,03,0015,LOCAL,0100,7473.0
2011,Regulatory,03,0015,LOCAL,0200,311.0
2011,Regulatory,03,0015,LOCAL,0314,2365.0
2011,Regulatory,03,0015,LOCAL,0740,12000.0
2011,Regulatory,03,0020,LOCAL,0100,5000.0
2011,Regulatory,03,0030,LOCAL,0100,-207309.0
2011,Regulatory,03,0030,LOCAL,0200,-65312.0
2011,Regulatory,03,0030,LOCAL,0314,-58861.0
2011,Regulatory,03,0030,LOCAL,0740,-99398.0
2011,Regulatory,03,0039,LOCAL,0100,30000.0
2011,Regulatory,03,0130,LOCAL,0100,820.0
2011,Regulatory,03,0130,LOCAL,0200,683.0
2011,Regulatory,03,0130,LOCAL,0314,519.0
2011,Regulatory,03,0130,LOCAL,0740,710.0
2011,Regulatory,03,0138,LOCAL,0100,5000.0
2011,Regulatory,03,0138,LOCAL,0200,54580.0
2011,Regulatory,03,0138,LOCAL,0314,5000.0
2011,Regulatory,03,0138,LOCAL,0740,5000.0
2011,Regulatory,03,0140,LOCAL,0100,48157.0
2011,Regulatory,03,0140,LOCAL,0200,48236.0
2011,Regulatory,03,0140,LOCAL,0314,34048.0
2011,Regulatory,03,0140,LOCAL,0740,14513.0
2011,Regulatory,03,0149,LOCAL,0100,1649.0
2011,Regulatory,03,0149,LOCAL,0200,350.0
2011,Regulatory,03,0149,LOCAL,0314,325.0
2011,Regulatory,03,0149,LOCAL,0740,1034.0
2011,Regulatory,03,0154,LOCAL,0100,27618.0
2011,Regulatory,03,0154,LOCAL,0200,19256.0
2011,Regulatory,03,0154,LOCAL,0314,18635.0
2011,Regulatory,03,0154,LOCAL,0740,36842.0
2011,Regulatory,03,0155,LOCAL,0200,1200.0
2011,Regulatory,03,0155,LOCAL,0314,1300.0
2011,Regulatory,03,0155,LOCAL,0740,2500.0
2011,Regulatory,03,0157,LOCAL,0100,59864.0
2011,Regulatory,03,0157,LOCAL,0200,48402.0
2011,Regulatory,03,0157,LOCAL,0314,41142.0
2011,Regulatory,03,0157,LOCAL,0740,72604.0
2011,Regulatory,03,0159,LOCAL,0100,9231.0
2011,Regulatory,03,0159,LOCAL,0200,5827.0
2011,Regulatory,03,0159,LOCAL,0314,5062.0
2011,Regulatory,03,0159,LOCAL,0740,9231.0
2011,Regulatory,03,0162,LOCAL,0100,1487.0
2011,Regulatory,03,0162,LOCAL,0200,2424.0
2011,Regulatory,03,0162,LOCAL,0314,2284.0
2011,Regulatory,03,0162,LOCAL,0740,1151.0
2011,Regulatory,03,0166,LOCAL,0100,721.0
2011,Regulatory,03,0166,LOCAL,0200,2688.0
2011,Regulatory,03,0166,LOCAL,0314,1574.0
2011,Regulatory,03,0166,LOCAL,0740,1573.0
2011,Regulatory,03,0169,LOCAL,0100,21728.0
2011,Regulatory,03,0169,LOCAL,0200,4672.0
2011,Regulatory,03,0169,LOCAL,0314,3976.0
2011,Regulatory,03,0169,LOCAL,0740,8025.0
2011,Regulatory,03,0181,LOCAL,0100,47118.0
2011,Regulatory,03,0181,LOCAL,0200,14268.0
2011,Regulatory,03,0181,LOCAL,0314,12906.0
2011,Regulatory,03,0181,LOCAL,0740,19918.0
2011,Regulatory,03,0189,LOCAL,0100,62445.0
2011,Regulatory,03,0189,LOCAL,0200,42325.0
2011,Regulatory,03,0189,LOCAL,0314,9484.0
2011,Regulatory,03,0189,LOCAL,0740,25258.0
2011,Regulatory,03,0245,LOCAL,0100,558.0
2011,Regulatory,03,0245,LOCAL,0200,558.0
2011,Regulatory,03,0245,LOCAL,0314,558.0
2011,Regulatory,03,0245,LOCAL,0740,558.0
2011,Regulatory,03,0270,LOCAL,0100,3875.0
2011,Regulatory,03,0270,LOCAL,0200,1615.0
