0B09,CTA Real Property Transfer Tax Fund
0B21,Tax Increment Financing Administration Fund
0B25,Chicago Police CTA Detail Fund
0B26,Chicago Parking Meters Fund
0B32,Garbage Collection Fund
0B42,Foreign Fire Insurance Tax Fund
0B53,Wheelchair Accessible Vehicle Fund
0B64,Cable Local Origination Fund
0B67,Protecting CARE Fund
0B70,Cannabis Regulation Tax
0B89,Opioid Settlement Fund
0B90,Vaping Settlement Fund
0B92,Construction and Demolition Debris Management Fund
0B93,Houseshare Surcharge
0B94,Houseshare Surcharge
0D43,Neighborhoods Opportunity Fund
0D44,Citywide Adopt-a-landmark Fund
0D45,Local Impact Fund
925C,COVID-19 Grant Fund
925D,Disaster Recovery Fund
925E,Entitlement Fund
925F,Federal Grant Fund
925L,Local Public and Private Grant Fund
925P,Program Income Fund
925S,State Grant Fund
0075,Grants Management Fund
0100,Corporate Fund
0200,Water Fund
0300,Vehicle Tax Fund
0310,Motor Fuel Tax Fund
0314,Sewer Fund
0346,Library Fund
0353,Emergency Communication Fund
0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund
0510,Bond Redemption and Interest Series Fund
0521,Library Property Tax Levy Fund
0610,Chicago Midway Airport Fund
0681,Municipal Employees' Annuity and Benefit Fund
0682,Laborers' and Retirement Board Annuity and Benefit Fund
0683,Policemen's Annuity and Benefit Fund
0684,Firemen's Annuity and Benefit Fund
0740,O'HARE REVENUE FUND
0994,Controlled Substances Fund
0996,Affordable Housing Opportunity Fund
GA00,Coronavirus Local Fiscal Recovery Fund
