deptNum,deptName
01,Office of the Mayor
03,Office of the Inspector General
05,Budget and Management
06,Technology and Innovation
15,City Council
21,Department of Housing
23,Cultural Affairs and Special Events
25,City Clerk
27,Finance
28,City Treasurer's Office
29,Department of Revenue
30,Administrative Hearings
31,Law
32,Office of Compliance
33,Human Resources
35,Procurement Services
38,Fleet & Facility Management
39,Board of Elections Commissioners
40,Department of Fleet Management
41,Health
45,Commission on Human Relations
48,Mayor's Office for People with Disabilities
50,Family & Support Services
51,Public Safety Adminstration
54,Planning and Development
55,Chicago Police Board
56,Independent Police Review Authority (Ipra)
57,Chicago Police Department
58,Emergency Management Communication
59,Chicago Fire Department
60,Civilian Office of Police Accountability
62,Community Commision for Public Safety and Accountability
67,Buildings
70,Business Affairs and Consumer Protection
72,Environment
73,Animal Care & Control
77,License Appeal Commission
78,Board of Ethics
81,Streets and Sanitation
84,Chicago Department of Transportation
85,Aviation
88,Water Management
91,Public Library
99,Finance General
